"1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","25","26","27","28","29","3","30","31","32","33","34","35","36","4","5","6","7","8","9","invalid","undetermined"
"UBE2I-AD-00057",83,14,35,19,1,36,13,1,3,3,0,88,2,3,2,4,1,0,2,2,11,1,145,9,12,4,12,2,8,0,94,142,27,73,14,1,2,546
"UBE2I-AD-00058",1,33,5,1,179,33,381,0,305,282,13,0,79,55,45,202,50,437,49,4,38,26,0,13,5,13,4,0,0,0,1,16,6,3,19,22,1,105
"UBE2I-AD-00059",123,131,118,259,3,20,58,62,88,1,1,128,8,16,7,59,56,11,0,0,65,37,103,36,1,6,0,0,16,0,271,323,312,111,193,75,0,378
"UBE2I-AD-00060",100,61,154,37,82,0,13,16,20,30,14,0,6,45,36,1,26,1,3,5,68,58,130,62,12,25,4,0,0,32,117,157,117,54,58,55,1,98
"UBE2I-AD-00061",40,22,27,38,0,27,24,0,0,0,79,18,6,3,32,128,16,0,0,6,48,26,6,11,9,0,1,3,0,6,34,14,7,31,0,21,1,92
"UBE2I-AD-00063",21,49,102,142,2164,804,662,65,109,2,95,13,162,30,132,486,91,26,79,46,83,54,202,43,22,1,3,1,43,24,331,170,91,166,38,113,4,289
"UBE2I-AD-00064",3,2,0,0,0,2,7,0,2,7,3,1,0,0,8,0,0,1,0,0,8,0,2,2,0,0,0,0,0,1,2,1,0,2,1,0,0,35
"UBE2I-AD-00066",20,46,31,59,687,640,657,626,3884,995,980,20,603,3303,1124,1067,1548,1707,95,155,127,156,144,106,50,299,36,37,88,22,36,50,0,46,0,3,13,651
"UBE2I-AD-00067",58,0,30,0,3,0,24,0,21,0,1,0,6,0,20,1,0,5,0,0,0,10,9,11,0,0,0,0,0,0,8,18,0,0,0,0,0,16
"UBE2I-AD-00068",1,2,42,26,82,48,32,0,7,0,4,48,7,74,0,0,91,2,0,6,9,27,22,20,6,0,6,0,0,6,0,0,41,35,18,7,0,32
"UBE2I-AD-00069",124,7,97,143,71,22,10,56,15,3,1,242,21,25,10,3,0,21,6,1,83,67,99,55,41,1,46,3,28,14,26,130,40,54,52,10,3,326
"UBE2I-AD-00070",22,27,30,19,20,14,9,7,11,8,51,19,5,8,2,9,40,6,28,3,71,42,92,67,8,2,8,1,4,0,27,25,14,11,6,4,11,874
"UBE2I-AD-00071",8,22,67,22,0,43,1,37,35,23,0,92,0,13,0,0,9,5,8,0,15,30,12,6,0,16,1,1,0,0,52,42,7,46,5,68,2,111
"UBE2I-AD-00072",34,65,11,13,16,10,30,5,65,4,8,0,6,3,3,3,5,27,3,17,31,6,28,31,0,0,1,2,7,0,11,30,4,7,2,3,2,38769
"UBE2I-AD-00073",35,16,25,7,308,202,410,58,160,16,136,0,200,92,21,551,161,86,2,61,42,4,0,0,2,31,47,0,0,1,4,0,51,89,75,6,4,133
"UBE2I-AD-00074",145,0,9,43,36,13,49,2,75,14,3,25,1,1,10,1,10,0,17,0,31,23,5,18,3,10,7,2,1,2,70,21,54,3,4,0,0,93
"UBE2I-AD-00075",1,4,7,9,9,15,23,1,2,1,0,15,1,2,10,0,0,3,0,0,26,28,1,10,10,0,1,1,1,0,41,1,77,108,0,2,0,135
"UBE2I-AD-00076",1,10,6,0,137,624,538,392,204,4,465,16,132,72,2,394,0,32,0,191,43,32,51,25,78,26,3,17,7,19,0,26,16,19,0,0,2,124
"UBE2I-AD-00077",88,5,14,17,331,44,446,119,226,168,340,41,51,30,299,74,7,132,416,21,27,14,23,12,3192,0,0,3,13,8,32,8,18,0,2,1,7,309
"UBE2I-AD-00079",558,727,612,219,416,479,534,18,58,1,23,635,13,10,23,72,89,0,0,23,77,67,1024,52,37,0,27,1,18,3,487,476,492,515,352,365,9,351
"UBE2I-AD-00080",2,0,9,4,4,4,1,0,5,78,0,2,1,3,2,0,1,10,0,0,0,5,0,3,0,0,1,7,1,0,9,0,1,0,4,3,1,138
"UBE2I-AD-00081",15,9,63,31,0,0,2,0,49,1,25,98,0,0,5,44,41,0,2,5,61,50,9,44,20,3,8,9,8,0,44,7,45,43,7,4,1,45
"UBE2I-AD-00082",92,18,60,103,55,205,80,123,52,15,80,42,42,63,136,32,788,18,1,74,32,21,89,7,12,14,11,7,9,10,90,35,17,60,24,0,1,364
"UBE2I-AD-00083",10,20,29,55,202,335,22,13,68,231,88,56,301,192,262,75,223,56,18,3,35,12,30,21,7,9,16,1,1,59,31,15,2,18,0,0,3,184
"UBE2I-AD-00084",40,12,0,32,66,1,58,0,0,0,0,0,1,3,15,15,0,0,7,0,31,25,0,9,8,0,0,0,0,0,24,18,31,60,5,87,0,92
"UBE2I-AD-00085",74,15,89,83,75,21,11,5,74,5,10,2,8,15,46,32,25,2,0,7,40,42,95,27,9,4,7,8,9,1,93,8,31,30,2,55,17,51140
"UBE2I-AD-00086",1398,511,731,450,204,377,158,0,112,54,30,4207,39,19,1,115,60,11,11,8,146,77,1007,69,29,22,11,7,1,7,968,1266,805,863,393,152,10,488
"UBE2I-AD-00087",3508,2554,2353,2040,103,285,212,143,142,4,54,2760,32,71,51,67,31,27,30,15,159,47,4794,229,18,17,38,12,1,2,2782,2894,2214,2507,2987,713,35,1421
"UBE2I-AD-00088",24,0,147,25,223,101,80,0,2136,0,458,0,133,10,465,23,247,66,9,219,27,59,0,25,14,0,8,0,0,6,33,12,32,67,5,10,3,159
"UBE2I-AD-00089",3739,3491,4398,4340,1131,1153,1465,1894,3530,1768,1041,3183,931,798,1166,2068,1698,495,295,475,4773,4022,3929,3776,972,592,805,374,390,466,4508,5701,4420,4085,2475,1578,62,2702
"UBE2I-AD-00091",2,40,36,51,9,27,49,122,27,10,14,6,17,10,14,10,5,7,7,10,35,23,15,8,13,2,7,6,6,12,22,28,11,1,31,5,8,674
"UBE2I-AD-00092",138,41,43,80,228,129,735,41,13,36,204,11,34,292,200,226,34,0,17,748,20,33,105,40,9,13,12,12,278,9,89,66,71,86,46,1,4,125
"UBE2I-AD-00093",1,0,4,0,3,4,1,2,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,2,6,4,2,2,0,0,1,287
"UBE2I-AD-00094",2353,2714,3673,3056,5032,6732,6868,2904,2310,1439,1427,1872,1721,1441,2700,5031,4243,649,523,817,3192,3412,2574,2694,719,474,741,450,1871,352,3080,3648,3077,3698,1728,1530,70,5555
"UBE2I-AD-00097",126,6,2,39,4,54,16,0,164,2,2,9,7,7,2,4,0,1,4,5,23,10,36,31,11,4,5,0,1,1,15,8,35,21,0,4,4,234
"UBE2I-AD-00099",45,3,29,43,451,34,236,21,397,352,91,2,7,68,36,26,79,9,160,86,11,56,107,15,16,24,4,1,30,7,8,41,3,0,15,48,3,228
"UBE2I-AD-00102",4,24,12,20,0,40,0,19,32,71,5,0,11,1,0,11,0,0,0,1,7,46,24,6,0,0,0,16,0,0,71,28,0,49,48,6,1,41
"UBE2I-AD-00104",44,29,8,34,1,2,0,29,2,1,20,0,1,10,11,14,44,11,0,0,21,41,53,65,8,2,21,1,0,13,1,155,0,0,0,0,4,84
"UBE2I-AD-00105",2209,2027,3129,2260,288,583,590,1665,1034,415,333,2397,292,305,433,766,425,98,126,117,1730,1448,3174,1119,274,289,250,192,533,146,2586,3717,2856,2720,2048,1209,28,896
"UBE2I-AD-00106",611,553,867,902,192,311,344,539,955,526,112,887,176,146,337,442,506,60,88,57,980,892,710,576,201,161,132,101,197,1019,1029,1104,599,864,694,349,14,731
"UBE2I-AD-00107",47,24,8,26,7,1,43,0,61,59,9,0,2,2,13,39,5,0,1,0,24,33,1,11,1,0,1,1,0,0,31,13,78,23,0,2,1,39
"UBE2I-AD-00108",18,0,23,57,4,109,5,0,63,0,30,2,24,2,3,18,7,8,1,11,48,54,24,24,24,4,6,19,9,18,35,107,17,51,13,9,0,124
"UBE2I-AD-00109",127,5,19,35,27,21,1,0,39,98,1,44,9,21,2,44,8,13,4,3,18,27,36,27,0,6,6,0,19,0,68,65,62,150,0,5,0,50
"UBE2I-AD-00110",40,105,129,253,0,80,35,121,1,0,24,498,6,7,1,89,3,1,15,50,58,17,412,4,29,0,0,1,37,0,91,284,159,257,75,178,5,133
"UBE2I-AD-00111",1,7,9,1,1,1,21,4,0,0,4,1,18,0,17,14,21,5,0,6,1,30,1,27,10,0,0,1,15,2,52,67,28,0,0,12,0,281
